word,freq
dad,887
hey,681
dont,635
just,608
get,576
can,528
like,492
youre,482
well,480
mom,459
know,418
got,396
one,385
yeah,378
now,376
man,363
right,344
gonna,342
ill,320
thats,311
cant,290
want,275
look,274
come,258
really,258
milhouse,247
think,246
lisa,240
okay,239
see,235
back,233
good,220
ive,217
lis,208
cool,202
say,201
never,193
theres,193
hes,187
homer,185
take,179
time,179
little,179
make,177
way,176
wow,168
something,168
will,165
krusty,165
didnt,164
need,163
school,161
sorry,159
whats,158
great,153
lets,150
guys,149
gotta,147
boy,145
going,141
please,139
bart,138
thanks,131
whoa,131
thing,131
wait,131
hell,131
even,126
help,126
yes,123
give,122
love,122
people,121
maybe,120
sure,119
let,117
ever,113
big,113
better,112
day,111
two,108
guy,106
simpson,105
dog,103
theyre,102
said,102
thought,101
tell,98
bad,97
home,97
old,96
god,95
mean,95
stupid,94
wanna,92
first,92
youve,92
money,91
huh,90
show,90
made,90
check,89
anything,88
always,88
last,87
kill,87
guess,86
play,86
life,86
new,85
kid,84
much,83
grampa,82
name,81
wont,81
put,80
around,80
still,80
stuff,76
stop,75
fun,73
carumba,73
eat,73
things,72
three,71
house,71
watch,71
cmon,70
believe,69
best,69
isnt,69
kids,69
work,68
place,68
away,67
book,67
nothing,67
find,67
real,66
thank,65
lot,64
keep,64
whos,63
sir,62
next,62
baby,62
friends,62
call,62
weve,61
world,61
every,61
someone,60
youll,60
sister,60
everything,59
long,58
nelson,58
shes,58
feel,57
uhoh,57
nice,55
listen,55
years,55
try,55
use,55
wrong,54
fine,54
night,54
doesnt,54
heres,54
head,53
mrs,53
stay,53
worry,53
another,52
pretty,52
turn,52
talk,51
enough,50
read,50
five,50
room,50
party,49
found,49
dead,49
game,49
die,49
friend,48
trying,48
family,48
girl,48
bob,48
getting,48
minute,47
car,46
crazy,46
says,46
looks,46
story,46
hear,46
must,45
shut,45
hello,45
happy,45
remember,45
seen,45
wheres,45
miss,45
buy,44
hit,44
wanted,44
awesome,43
dads,43
job,43
face,43
leave,42
done,42
saw,42
birthday,42
flanders,42
without,41
already,41
left,41
arent,41
deal,41
springfield,41
hundred,40
today,40
butt,40
fat,40
finally,40
everybody,40
days,40
tomorrow,40
wouldnt,40
easy,40
kind,39
anymore,39
learned,39
outta,39
used,39
might,39
idea,39
ralph,39
ten,38
care,38
least,38
heard,38
gone,38
cause,38
skinner,38
free,38
town,38
whole,38
food,38
happened,37
came,37
win,37
card,37
actually,37
movie,37
together,36
hard,36
many,36
whatever,36
sit,36
hope,36
pay,36
father,36
hate,36
everyone,36
fight,35
comes,35
lisas,35
lost,35
krabappel,35
itchy,35
girls,34
lady,34
times,34
bet,34
bucks,34
quit,34
forget,34
sideshow,34
hot,33
wasnt,33
knew,33
dollars,33
tonight,33
youd,33
wish,33
problem,33
took,33
brother,33
number,32
makes,32
told,32
four,32
hands,32
full,32
hmm,32
talking,32
may,31
cut,31
heart,31
looking,31
mine,31
else,31
later,31
gets,31
pick,31
supposed,31
coming,30
ask,30
maggie,30
beat,30
maam,30
funny,30
save,30
bring,30
gave,30
saying,29
sucks,29
mad,29
hair,29
principal,29
clown,29
ready,29
hmmm,29
test,29
mind,29
live,29
boring,29
bus,29
hurt,29
parents,29
killed,28
taking,28
start,28
year,28
song,28
damn,28
phone,28
end,28
trouble,28
dude,28
dream,28
water,28
havent,28
since,28
line,27
probably,27
bike,27
break,27
move,27
true,27
throw,27
burns,27
willie,27
set,27
run,27
hand,26
yet,26
boys,26
morning,26
change,26
homework,26
heh,26
