word,freq
homer,1355
dont,953
well,884
just,794
like,604
bart,585
youre,570
know,568
get,552
homie,537
thats,501
can,461
now,434
think,423
lisa,410
one,378
going,368
right,361
want,322
little,317
good,312
kids,307
cant,305
got,301
look,277
really,265
see,265
time,249
ill,245
hes,244
never,241
something,241
take,239
okay,233
ive,226
maybe,222
stop,221
back,214
love,213
sure,209
will,202
come,202
make,202
say,202
theres,191
honey,190
didnt,181
home,181
house,175
father,167
sorry,166
much,160
way,158
maggie,157
day,157
whats,156
thing,154
youve,154
two,154
people,152
gonna,150
thank,150
please,149
guess,149
tell,147
lets,145
need,143
yes,138
man,138
always,137
family,136
let,131
new,129
better,127
still,126
god,125
even,124
give,123
nice,122
mean,120
put,119
night,119
thought,119
ever,118
school,117
things,116
wait,114
first,114
said,113
isnt,113
theyre,112
youll,112
help,111
ooh,109
doesnt,107
feel,107
husband,105
life,105
hello,104
remember,101
money,100
last,99
simpson,99
baby,99
believe,98
three,98
bad,98
fun,96
made,96
everyone,96
work,95
talk,94
place,94
great,93
weve,91
show,90
dinner,89
happy,88
boy,88
find,88
lot,88
dear,87
everything,83
big,83
someone,83
ned,83
wrong,83
wont,83
children,82
mother,82
years,82
away,82
every,82
anything,81
fine,80
marge,80
shes,80
coming,79
yeah,79
call,77
might,77
getting,75
sweetie,75
keep,75
try,74
hope,74
grampa,73
use,73
idea,73
old,72
barts,72
kind,71
stay,70
married,70
looks,69
youd,69
car,69
friends,68
care,68
another,68
nothing,68
enough,67
today,67
done,67
sweet,67
springfield,67
whole,67
must,65
long,65
eat,65
best,64
burns,64
happened,64
crazy,64
told,64
christmas,64
turn,64
hey,64
glad,63
many,63
son,62
room,62
play,61
special,61
talking,60
without,60
name,60
around,60
tonight,59
worry,59
least,58
town,58
moe,58
trying,57
wonderful,57
real,57
hear,56
dollars,56
hmm,55
watch,54
used,54
left,54
saying,54
hard,54
party,53
wouldnt,53
job,53
taking,53
whos,53
together,53
listen,53
making,52
dog,52
wanted,51
actually,51
next,51
perfect,51
needs,50
guy,50
havent,50
start,50
girl,49
bed,49
arent,49
miss,49
excuse,49
ooo,49
woman,48
world,48
hair,48
story,48
hundred,48
tomorrow,48
young,47
five,47
couldnt,47
course,47
says,47
beautiful,47
wish,47
proud,47
hmmm,46
buy,46
gone,46
gotta,46
part,46
huh,46
ask,45
sounds,45
pretty,45
save,44
went,44
heres,44
sleep,43
wow,43
anyone,43
mom,43
end,43
thanks,42
church,42
poor,42
boys,42
anymore,42
